file,total_features,polygon_features,multipolygon_features,geometrycollection_with_polygons,features_with_polygon_any
data2/122103101.geojson,58731,58731,0,0,58731
data2/122103110.geojson,67008,67008,0,0,67008
data2/122103111.geojson,49393,49393,0,0,49393
data2/122103112.geojson,229,229,0,0,229
data2/122110000.geojson,52546,52546,0,0,52546
data2/122110001.geojson,106170,106170,0,0,106170
data2/122110002.geojson,46875,46875,0,0,46875
data2/122110003.geojson,58951,58951,0,0,58951
data2/122110010.geojson,115597,115597,0,0,115597
data2/122110011.geojson,75476,75476,0,0,75476
data2/122110012.geojson,61412,61412,0,0,61412
data2/122110013.geojson,101065,101065,0,0,101065
data2/122110020.geojson,46268,46268,0,0,46268
data2/122110021.geojson,58687,58687,0,0,58687
data2/122110022.geojson,76300,76300,0,0,76300
data2/122110023.geojson,60086,60086,0,0,60086
data2/122110030.geojson,71766,71766,0,0,71766
data2/122110031.geojson,36278,36278,0,0,36278
data2/122110032.geojson,73303,73303,0,0,73303
data2/122110033.geojson,55812,55812,0,0,55812
data2/122110100.geojson,123847,123847,0,0,123847
data2/122110101.geojson,180645,180645,0,0,180645
data2/122110102.geojson,40212,40212,0,0,40212
data2/122110103.geojson,45141,45141,0,0,45141
data2/122110110.geojson,126864,126864,0,0,126864
data2/122110111.geojson,126136,126136,0,0,126136
data2/122110112.geojson,48194,48194,0,0,48194
data2/122110113.geojson,45796,45796,0,0,45796
data2/122110120.geojson,63356,63356,0,0,63356
data2/122110121.geojson,25838,25838,0,0,25838
data2/122110122.geojson,18693,18693,0,0,18693
data2/122110123.geojson,26301,26301,0,0,26301
data2/122110130.geojson,24581,24581,0,0,24581
data2/122110131.geojson,18528,18528,0,0,18528
data2/122110132.geojson,22491,22491,0,0,22491
data2/122110133.geojson,22573,22573,0,0,22573
data2/122110200.geojson,127711,127711,0,0,127711
data2/122110201.geojson,128174,128174,0,0,128174
data2/122110202.geojson,64371,64371,0,0,64371
data2/122110203.geojson,114936,114936,0,0,114936
data2/122110210.geojson,197277,197277,0,0,197277
data2/122110211.geojson,38804,38804,0,0,38804
data2/122110212.geojson,38583,38583,0,0,38583
data2/122110213.geojson,47183,47183,0,0,47183
data2/122110220.geojson,76757,76757,0,0,76757
data2/122110221.geojson,65135,65135,0,0,65135
data2/122110222.geojson,66135,66135,0,0,66135
data2/122110223.geojson,202488,202488,0,0,202488
data2/122110230.geojson,82868,82868,0,0,82868
data2/122110231.geojson,131381,131381,0,0,131381
data2/122110232.geojson,285239,285239,0,0,285239
data2/122110233.geojson,157507,157507,0,0,157507
data2/122110300.geojson,27766,27766,0,0,27766
data2/122110301.geojson,53739,53739,0,0,53739
data2/122110302.geojson,70273,70273,0,0,70273
data2/122110303.geojson,51394,51394,0,0,51394
data2/122110310.geojson,137756,137756,0,0,137756
data2/122110311.geojson,100842,100842,0,0,100842
data2/122110312.geojson,48995,48995,0,0,48995
data2/122110313.geojson,51689,51689,0,0,51689
data2/122110320.geojson,150523,150523,0,0,150523
data2/122110321.geojson,73666,73666,0,0,73666
data2/122110322.geojson,63459,63459,0,0,63459
data2/122110323.geojson,188965,188965,0,0,188965
data2/122110330.geojson,54767,54767,0,0,54767
data2/122110331.geojson,62978,62978,0,0,62978
data2/122110332.geojson,72476,72476,0,0,72476
data2/122110333.geojson,134693,134693,0,0,134693
data2/122111000.geojson,149986,149986,0,0,149986
data2/122111001.geojson,93738,93738,0,0,93738
